province,short_name,reference_city,selection,STATION_AES,STATION_NAME,LATITUDE,LONGITUDE,distance_km,total_days,max_temp_days,min_temp_days,max_temp_completeness,min_temp_completeness,normals_station,normals_similarity,normals_match_status,temperature_valid,normals_valid,station_valid
Ontario,ON,Toronto,nearest,6158355,TORONTO CITY,43.67,-79.4,1.070242871259702,365,365,365,100.0,100.0,TORONTO (CITY),100.0,EXACT,True,True,True
Ontario,ON,Toronto,farthest,6010735,BIG TROUT LAKE A,53.82,-89.9,1363.5957676104545,365,365,365,100.0,100.0,BIG TROUT LAKE,93.33,FUZZY_HIGH,True,True,True
British Columbia,BC,Vancouver,nearest,1106178,PITT MEADOWS CS,49.21,-122.69,31.19226253914672,365,365,365,100.0,100.0,PITT MEADOWS,88.89,FUZZY_REVIEW,True,True,True
British Columbia,BC,Vancouver,farthest,119BLM0,DEASE LAKE (AUT),58.43,-130.03,1116.0608401216796,365,365,365,100.0,100.0,DEASE LAKE,83.33,FUZZY_REVIEW,True,True,True
Alberta,AB,Calgary,nearest,3AASUND,SUNDRE,51.77,-114.64,90.18207508685532,365,365,365,100.0,100.0,SUNDRE,100.0,EXACT,True,True,True
Alberta,AB,Calgary,farthest,3AAPYAF,FORT CHIPEWYAN AUTO,58.77,-111.11,879.1800544490249,365,365,365,100.0,100.0,FORT CHIPEWYAN,84.85,FUZZY_REVIEW,True,True,True
Manitoba,MB,Winnipeg,nearest,5012324,PORTAGE SOUTHPORT,49.9,-98.28,81.70758313652908,365,365,365,100.0,100.0,PORTAGE SOUTHPORT,100.0,EXACT,True,True,True
Manitoba,MB,Winnipeg,farthest,5060595,CHURCHILL A,58.74,-94.07,1002.7101235416312,365,365,365,100.0,100.0,CHURCHILL,90.0,FUZZY_HIGH,True,True,True
Saskatchewan,SK,Saskatoon,nearest,4045695,NORTH BATTLEFORD,52.77,-108.24,127.80936670269105,365,365,365,100.0,100.0,NORTH BATTLEFORD,100.0,EXACT,True,True,True
Saskatchewan,SK,Saskatoon,farthest,4067799,STONY RAPIDS,59.25,-105.84,793.0658278013087,365,365,365,100.0,100.0,STONY RAPIDS,100.0,EXACT,True,True,True
Nova Scotia,NS,Halifax,nearest,8205092,SHEARWATER RCS,44.63,-63.51,5.573429621900631,365,365,365,100.0,100.0,SHEARWATER,83.33,FUZZY_REVIEW,True,True,True
Nova Scotia,NS,Halifax,farthest,8202502,INGONISH BEACH RCS,46.66,-60.41,332.42163169663314,365,365,365,100.0,100.0,INGONISH BEACH,87.5,FUZZY_REVIEW,True,True,True
New Brunswick,NB,Moncton,nearest,8100467,BAS CARAQUET,47.8,-64.83,8483.67987699912,365,365,365,100.0,100.0,BAS CARAQUET,100.0,EXACT,True,True,True
New Brunswick,NB,Moncton,farthest,8104935,ST. STEPHEN,45.21,-67.25,8826.045151986478,365,365,365,100.0,100.0,ST. STEPHEN,100.0,EXACT,True,True,True
Prince Edward Island,PE,Charlottetown,nearest,8300300,CHARLOTTETOWN A,46.29,-63.13,5.693600609202063,365,365,365,100.0,100.0,CHARLOTTETOWN (AIRPORT),83.33,FUZZY_REVIEW,True,True,True
Prince Edward Island,PE,Charlottetown,farthest,8300418,EAST POINT (AUT),46.46,-61.99,90.8226382548514,365,365,365,100.0,100.0,EAST POINT,83.33,FUZZY_REVIEW,True,True,True
Newfoundland and Labrador,NL,St. John's,nearest,8401000,CAPE RACE (AUT),46.66,-53.08,104.02781474562842,365,365,365,100.0,100.0,CAPE RACE,81.82,FUZZY_REVIEW,True,True,True
Newfoundland and Labrador,NL,St. John's,farthest,8504177,WABUSH A,52.92,-66.86,1166.3627167594416,365,365,365,100.0,100.0,WABUSH,85.71,FUZZY_REVIEW,True,True,True
Yukon,YT,Whitehorse,nearest,2101303,WHITEHORSE A,60.71,-135.07,1.0889250685595537,365,365,365,100.0,100.0,WHITEHORSE,90.91,FUZZY_HIGH,True,True,True
Yukon,YT,Whitehorse,farthest,2100660,IVVAVIK NAT. PARK,69.16,-140.15,968.1850012045925,365,365,365,100.0,100.0,IVVAVIK NAT. PARK,100.0,EXACT,True,True,True
Northwest Territories,NT,Yellowknife,nearest,2204100,YELLOWKNIFE A,62.46,-114.44,3.5709432671798425,365,365,365,100.0,100.0,YELLOWKNIFE (AIRPORT),81.25,FUZZY_REVIEW,True,True,True
Northwest Territories,NT,Yellowknife,farthest,2203095,PELLY ISLAND,69.63,-135.44,1230.5182395411696,365,365,365,100.0,100.0,PELLY ISLAND,100.0,EXACT,True,True,True
Nunavut,NU,Iqaluit,nearest,2402596,IQALUIT A,63.76,-68.56,2.220613769144823,365,362,362,99.17808219178083,99.17808219178083,IQALUIT,87.5,FUZZY_REVIEW,True,True,True
Nunavut,NU,Iqaluit,farthest,2300902,KUGLUKTUK A,67.82,-115.14,2119.1243064915757,365,363,363,99.45205479452055,99.45205479452055,KUGLUKTUK,90.0,FUZZY_HIGH,True,True,True
