STATION_AES,STATION_NAME,LATITUDE,LONGITUDE,province
1011500,CHEMAINUS,48.94,-123.74,British Columbia
1012055,LAKE COWICHAN,48.83,-124.05,British Columbia
1012475,DISCOVERY ISLAND,48.42,-123.23,
1012710,ESQUIMALT HARBOUR,48.43,-123.44,
1014820,MALAHAT,48.57,-123.53,British Columbia
1015105,METCHOSIN,48.37,-123.56,British Columbia
1015628,NORTH COWICHAN,48.82,-123.72,British Columbia
1015630,NORTH COWICHAN,48.82,-123.72,British Columbia
1015638,NORTH PENDER ISLAND,48.76,-123.29,British Columbia
1016335,PORT RENFREW,48.59,-124.33,British Columbia
1016640,RACE ROCKS,48.3,-123.53,
1016940,SAANICHTON CDA,48.62,-123.42,British Columbia
1016995,SALTSPRING ST MARY'S L,48.89,-123.55,British Columbia
1016RM0,SAANICHTON MT NEWTON,48.6,-123.43,British Columbia
1017099,SATURNA CAPMON CS,48.78,-123.13,British Columbia
1017101,SATURNA ISLAND CS,48.78,-123.04,
1017230,SHAWNIGAN LAKE,48.65,-123.63,British Columbia
1017254,SHERINGHAM POINT,48.38,-123.92,British Columbia
1018598,VICTORIA UNIVERSITY CS,48.46,-123.3,British Columbia
1018611,VICTORIA GONZALES CS,48.41,-123.32,British Columbia
1018621,VICTORIA INTL A,48.65,-123.43,British Columbia
1018633,VICTORIA HARBOUR A,48.42,-123.39,
1020590,BALLENAS ISLAND,49.35,-124.16,British Columbia
1021261,CAMPBELL RIVER A,49.95,-125.27,British Columbia
1021270,CAMPBELL RIVER A,49.95,-125.27,British Columbia
1021330,CAPE MUDGE,50.0,-125.2,
1021480,CHATHAM POINT,50.33,-125.45,British Columbia
1021830,COMOX A,49.72,-124.9,British Columbia
1021988,COURTENAY GRANTHAM,49.76,-125.0,British Columbia
1021989,COURTENAY PUNTLEDGE,49.69,-125.03,British Columbia
1022689,ENTRANCE ISLAND,49.21,-123.81,
1022795,FANNY ISLAND,50.45,-125.99,British Columbia
1023462,HERIOT BAY SE,50.1,-125.2,
1024638,LITTLE QUALICUM HATCHERY,49.35,-124.51,British Columbia
1025365,NANAIMO A,49.05,-123.87,British Columbia
1025369,NANAIMO A,49.05,-123.87,British Columbia
10253G0,NANAIMO CITY YARD,49.2,-123.99,British Columbia
1026170,PINE ISLAND,50.98,-127.73,British Columbia
1026271,PORT HARDY A,50.68,-127.37,British Columbia
1026562,QUALICUM BEACH AIRPORT,49.34,-124.39,British Columbia
1026565,QUALICUM R FISH RESEARCH,49.39,-124.62,British Columbia
1026639,QUINSAM RIVER HATCHERY,50.02,-125.3,British Columbia
1027403,SISTERS ISLAND,49.49,-124.43,
102BFHH,ENTRANCE ISLAND,49.21,-123.81,
1030230,ALBERNI ROBERTSON CREEK,49.34,-124.98,British Columbia
1031316,CAPE BEALE LIGHT,48.79,-125.22,
1031353,CAPE SCOTT,50.78,-128.43,British Columbia
1032730,ESTEVAN POINT,49.38,-126.54,
1032731,ESTEVAN POINT CS,49.38,-126.54,
1034600,LENNARD ISLAND,49.11,-125.92,
1035612,NITINAT RIVER HATCHERY,48.86,-124.66,British Columbia
1035614,NOOTKA LIGHTSTATION,49.6,-126.62,British Columbia
1035940,PACHENA POINT,48.72,-125.1,
1036570,QUATSINO,50.53,-127.65,
1036572,QUATSINO LIGHTSTATION,50.44,-128.03,
1036B06,PORT ALBERNI (AUT),49.32,-124.93,British Columbia
1037090,SARTINE ISLAND (AUT),50.82,-128.91,
1037553,SOLANDER ISLAND (AUT),50.11,-127.94,British Columbia
1037899,TAHSIS VILLAGE NORTH,49.93,-126.65,British Columbia
1038205,TOFINO A,49.08,-125.77,British Columbia
1038210,TOFINO A,49.08,-125.77,British Columbia
1038332,UCLUELET KENNEDY CAMP,48.95,-125.53,British Columbia
1039035,ZEBALLOS MURAUDE CREEK,50.05,-126.78,British Columbia
104091B,BOWEN ISLAND SUNSET PARK,49.36,-123.4,British Columbia
1043152,GIBSONS GOWER POINT,49.39,-123.54,British Columbia
1045100,MERRY ISLAND LIGHTSTATION,49.47,-123.91,
10459NN,HOWE SOUND - PAM ROCKS,49.49,-123.3,
1046115,PENDER HARBOUR,49.63,-124.03,British Columbia
1046332,PORT MELLON,49.53,-123.5,British Columbia
1046391,POWELL RIVER A,49.83,-124.5,British Columbia
1046392,POWELL RIVER,49.83,-124.5,British Columbia
1046396,POWELL RIVER A,49.83,-124.5,British Columbia
1047172,SECHELT AUT,49.46,-123.72,British Columbia
10476F0,SQUAMISH AIRPORT,49.78,-123.16,British Columbia
1048898,WHISTLER,50.13,-122.95,British Columbia
1051351,CAPE ST JAMES,51.94,-131.02,British Columbia
1054222,KINDAKUN ROCKS (AUT),53.32,-132.77,
1054500,LANGARA,54.26,-133.06,
1054503,LANGARA ISLAND RCS,54.26,-133.06,
1054929,MASSET A,54.03,-132.13,British Columbia
1056869,ROSE SPIT (AUT),54.16,-131.66,British Columbia
1057051,SANDSPIT AIRPORT AUTO,53.25,-131.81,British Columbia
1057052,SANDSPIT,53.25,-131.81,British Columbia
1060080,ADDENBROKE ISLAND,51.6,-127.86,British Columbia
1060815,BELLA BELLA,52.19,-128.16,British Columbia
1060844,BELLA COOLA AIRPORT,52.39,-126.59,British Columbia
1060848,BELLA COOLA A,52.39,-126.6,British Columbia
1060901,BOAT BLUFF,52.64,-128.52,
1060902,BONILLA ISLAND,53.49,-130.64,
1060R0K,BONILLA ISLAND (AUT),53.49,-130.64,
1061458,CATHEDRAL POINT (AUT),52.19,-127.47,
1062251,CUMSHEWA ISLAND,53.03,-131.6,
1062544,DRYAD POINT,52.19,-128.11,
1062646,EGG ISLAND,51.25,-127.84,
1063298,GREEN ISLAND,54.57,-130.71,
1063303,GREY ISLET (AUT),54.58,-130.7,
1063461,HERBERT ISLAND (AUT),50.94,-127.63,
1063496,HOLLAND ROCK,54.17,-130.36,
1063690,IVORY ISLAND,52.27,-128.41,
1064020,KEMANO,53.56,-127.94,British Columbia
1064320,KITIMAT TOWNSITE,54.05,-128.63,British Columbia
1064321,KITIMAT 2,54.01,-128.71,British Columbia
1064728,LUCY ISLAND LIGHTSTATION,54.3,-130.61,
1065010,MCINNES ISLAND,52.26,-128.72,
1066482,PRINCE RUPERT,54.29,-130.44,British Columbia
1066488,PRINCE RUPERT MONT CIRC,54.32,-130.29,British Columbia
1067748,STEWART A,55.93,-129.98,British Columbia
1068130,TERRACE A,54.47,-128.58,British Columbia
1068131,TERRACE PCC,54.5,-128.62,British Columbia
1068134,TERRACE A,54.47,-128.58,British Columbia
1068250,TRIPLE ISLAND,54.29,-130.88,
106D289,KITIMAT HATCHERY,54.04,-128.68,British Columbia
1073615,HOUSTON,54.4,-126.67,British Columbia
1077499,SMITHERS,54.83,-127.18,British Columbia
1077501,SMITHERS AIRPORT AUTO,54.82,-127.19,British Columbia
107G879,SUSKWA VALLEY,55.29,-127.17,British Columbia
1085836,OOTSA LAKESKINS LAKE CLIMATE,53.77,-126.0,British Columbia
1086081,PEMBERTON AIRPORT (WIND),50.3,-122.74,British Columbia
1086082,PEMBERTON AIRPORT CS,50.31,-122.73,British Columbia
1086558,PUNTZI MOUNTAIN (AUT),52.11,-124.14,British Columbia
1088015,TATLAYOKO LAKE RCS,51.67,-124.4,British Columbia
1090660,BARKERVILLE,53.07,-121.51,British Columbia
1091174,BURNS LAKE DECKER LAKE,54.38,-125.96,British Columbia
1092975,FORT ST JAMES AUTO,54.46,-124.29,British Columbia
1093474,HIXON,53.53,-122.7,British Columbia
1095018,MCLEESE LAKE GRANITE MT,52.53,-122.29,British Columbia
1096439,PRINCE GEORGE,53.88,-122.68,British Columbia
1096453,PRINCE GEORGE AIRPORT AUTO,53.89,-122.67,British Columbia
1096454,PRINCE GEORGE MASSEY AUTO,53.9,-122.79,British Columbia
1096468,PRINCE GEORGE STP,53.88,-122.77,British Columbia
1096629,QUESNEL,53.03,-122.51,British Columbia
1096631,QUESNEL AIRPORT AUTO,53.03,-122.51,British Columbia
1097646,SPOKIN LAKE 4E,52.18,-121.69,British Columbia
1098941,WILLIAMS LAKE A,52.18,-122.05,British Columbia
1098D90,VANDERHOOF,54.03,-124.02,British Columbia
1100031,ABBOTSFORD A,49.03,-122.36,British Columbia
1100032,ABBOTSFORD A,49.03,-122.36,British Columbia
1100119,AGASSIZ RCS,49.24,-121.76,British Columbia
1100120,AGASSIZ CDA,49.24,-121.76,British Columbia
1100875,WHISTLER - NESTERS,50.13,-122.95,British Columbia
1101158,BURNABY SIMON FRASER U,49.28,-122.92,British Columbia
1101300,CALLAGHAN VALLEY,50.14,-123.11,British Columbia
1101708,CLOVERDALE EAST,49.11,-122.7,British Columbia
1102221,CULTUS LAKE,49.08,-121.98,British Columbia
1102415,DELTA BURNS BOG,49.13,-123.0,British Columbia
1102425,DELTA TSAWWASSEN BEACH,49.01,-123.09,British Columbia
1102912,FORT LANGLEY TELEGRAPH TRAIL,49.14,-122.55,British Columbia
1103332,HANEY UBC RF ADMIN,49.26,-122.57,British Columbia
1105192,MISSION WEST ABBEY,49.15,-122.27,British Columbia
1105658,N VANC GROUSE MTN RESORT,49.38,-123.08,British Columbia
1105669,N VANCOUVER WHARVES,49.31,-123.12,
1106178,PITT MEADOWS CS,49.21,-122.69,British Columbia
1106200,POINT ATKINSON,49.33,-123.26,
1106764,RICHMOND DALLYN 2,49.18,-123.09,British Columbia
1106CL2,PORT MOODY GLENAYRE,49.28,-122.88,British Columbia
1106PF7,RICHMOND NATURE PARK,49.17,-123.09,British Columbia
1107010,SANDHEADS CS,49.11,-123.3,
1107785,SUMAS CANAL,49.11,-122.11,British Columbia
1108380,VANCOUVER SEA ISLAND CCG,49.18,-123.19,British Columbia
1108395,VANCOUVER INTL A,49.19,-123.18,British Columbia
