country_code,country,health_spending_usd,health_spending_gdp,cancer_survival,dtp3
AFG,Afghanistan,74.06,14.83,42.31,65.0
AGO,Angola,64.45,2.2,44.89,61.0
ALB,Albania,366.3,6.78,79.06,99.0
AND,Andorra,3021.0,7.32,90.66,99.0
ARE,United Arab Emirates,1962.0,4.4,80.71,99.0
ARG,Argentina,1007.0,10.12,84.9,83.0
ARM,Armenia,533.7,11.38,77.12,92.0
ATG,Antigua and Barbuda,808.1,4.28,88.16,99.0
AUS,Australia,5543.0,10.25,90.83,95.0
AUT,Austria,5313.0,10.63,86.87,84.0
AZE,Azerbaijan,199.3,4.18,74.27,73.0
BDI,Burundi,22.24,9.06,31.49,93.0
BEL,Belgium,5087.0,10.86,91.5,97.0
BEN,Benin,33.95,3.0,33.27,72.0
BFA,Burkina Faso,41.07,5.35,36.25,91.0
BGD,Bangladesh,45.08,2.13,60.34,98.0
BGR,Bulgaria,733.1,7.12,80.13,93.0
BHR,Bahrain,1030.0,3.78,73.71,99.0
BHS,Bahamas,1881.0,5.7,84.05,89.0
BIH,Bosnia and Herzegovina,546.5,8.93,82.41,80.0
BLR,Belarus,400.1,5.86,79.66,98.0
BLZ,Belize,298.1,4.82,62.22,98.0
BOL,Bolivia (Plurinational State of),241.3,6.89,75.83,75.0
BRA,Brazil,868.2,9.61,90.34,70.0
BRB,Barbados,1168.0,5.67,86.95,90.0
BRN,Brunei Darussalam,678.8,2.23,80.43,99.0
BTN,Bhutan,115.7,3.38,45.35,97.0
BWA,Botswana,438.3,6.12,60.04,95.0
CAF,Central African Republic,35.76,7.76,24.64,38.0
CAN,Canada,5099.0,11.05,89.28,91.0
CHE,Switzerland,9610.0,11.43,88.92,96.0
CHL,Chile,1349.0,9.31,80.66,96.0
CHN,China,539.0,5.27,80.46,99.0
CIV,Cote d'Ivoire,68.3,3.19,36.76,79.0
CMR,Cameroon,56.79,3.65,44.46,67.0
COD,Democratic Republic of the Congo,19.21,3.51,32.31,73.0
COG,Congo,58.42,2.35,38.41,79.0
COK,Cook Islands,686.7,3.1,59.63,98.0
COL,Colombia,507.1,7.83,83.28,94.0
COM,Comoros,78.24,5.18,37.62,78.0
CPV,Cabo Verde,211.2,4.82,50.47,96.0
